SPYBeta,SPYWeight,Return,Volatility,Color
1.29,0.743,0.0935897703160233,0.1865347759947035,#009EFF
1.29,0.753,0.0942473560802626,0.1889150201656776,#009EFF
1.29,0.763,0.0949049418445019,0.1913004386701331,#009EFF
1.3,0.766,0.0955374038447715,0.1936163557189495,#00A0FF
1.3,0.776,0.096200670891922,0.1960297787499036,#00A0FF
1.28,0.799,0.0968144408815576,0.1982631734733642,#009CFF
1.29,0.802,0.0974695263250354,0.2006495382944651,#009EFF
1.29,0.812,0.0981271120892747,0.2030577088924343,#009EFF
1.28,0.829,0.0987700088233042,0.205432304106935,#009CFF
1.27,0.846,0.0993893450130767,0.2077516656138826,#009AFF
1.3,0.834,0.1000476197653951,0.2101153619328954,#00A0FF
1.28,0.858,0.1006603911669926,0.212396386183532,#009CFF
1.31,0.846,0.1013200488539024,0.2148234174054002,#00A2FF
1.29,0.87,0.1019411095218629,0.2171028754213909,#009EFF
1.29,0.88,0.1025986952861022,0.2195367119533802,#009EFF
1.3,0.882,0.1032313015917177,0.2218711781603985,#00A0FF
1.31,0.884,0.1038618670940829,0.2242205218608199,#00A2FF
1.3,0.901,0.1044915089813037,0.2265459023265952,#00A0FF
1.31,0.903,0.1051327762141732,0.228936786538549,#00A2FF
1.29,0.928,0.105755106954451,0.2312631818599406,#009EFF
1.32,0.914,0.1063788878873406,0.2336003666969865,#00A4FF
1.3,0.939,0.1070119237604758,0.2359277469626458,#00A0FF
1.28,0.965,0.1076352501592221,0.2383315525045933,#009CFF
1.31,0.95,0.1082766040375544,0.2406486252691718,#00A2FF
1.31,0.959,0.1088786136207551,0.2428981101971124,#00A2FF
1.3,0.977,0.1095323385396478,0.2453486550064348,#00A0FF
1.32,0.97,0.110155992298545,0.2476970218830691,#00A4FF
1.3,0.996,0.1107925459292338,0.2500723788766489,#00A0FF
1.31,0.997,0.1114204318609357,0.2524177655267135,#00A2FF
1.32,0.998,0.1120445445041472,0.2547746071070341,#00A4FF
1.33,0.998,0.112596836099996,0.2568878916156814,#00A6FF
1.34,0.999,0.113212714294521,0.2592661175194088,#00A8FF
1.35,1.0,0.1138246822268564,0.2616564216189541,#00AAFF
1.37,0.993,0.1144051994355328,0.2641005615049689,#00AEFF
1.38,0.994,0.1150003779268113,0.2665088724651802,#00B0FF
1.39,0.994,0.1155202679890751,0.2686621272779025,#00B2FF
1.4,0.995,0.1161067292185833,0.2710943578568158,#00B4FF
1.41,0.996,0.116689011262503,0.2735400159124267,#00B6FF
1.42,0.996,0.1171943013288814,0.2757247873557757,#00B8FF
1.43,0.997,0.1177675454136191,0.2781958769498124,#00BAFF
1.44,0.997,0.1182626817754196,0.2804021906695323,#00BCFF
1.45,0.998,0.1188266608220229,0.2828997942820103,#00BEFF
1.46,0.998,0.1193114307794286,0.2851287285660002,#00C0FF
1.47,0.999,0.1198659030146866,0.287653999888368,#00C2FF
1.48,0.999,0.1203400789537693,0.2899067054331607,#00C4FF
1.49,0.999,0.120808633001244,0.29217062115306,#00C6FF
1.5,1.0,0.1213481247187102,0.2947385834017726,#00C8FF
